"",".id","id","name","terminalName","lastCommWithServer","lat","long","installed","locked","installDate","temporary","public","nbBikes","nbEmptyDocks","latestUpdateTime"
"213","station","221","S Oakland St & Columbia Pike","31058","1395844296358","38.860789","-77.09586","true","false","1366735380000","false","true","6","5","1395808217865"
"214","station","222","S Abingdon St & 36th St S","31059","1395844255951","38.835213","-77.094295","true","false","1366739700000","false","true","6","5","1395839169185"
"215","station","223","S Arlington Mill Dr & Campbell Ave","31060","1395844174405","38.84232","-77.089555","true","false","1366802400000","false","true","8","7","1395840989104"
"216","station","224","S Kenmore & 24th St S","31061","1395844246798","38.848454","-77.084918","true","false","1366825140000","false","true","7","4","1395808226335"
"217","station","225","13th St & Eastern Ave","32006","1395844318047","38.987","-77.029417","true","false","1380292680000","false","true","6","9","1395808225530"
"218","station","226","Wisconsin Ave & O St NW","31312","1395844250771","38.90849","-77.063586","true","false","1366910820000","false","true","10","9","1395842834894"
"219","station","227","S George Mason Dr & 13th St S","31062","1395844178604","38.854691","-77.100555","true","false","1372694040000","false","true","6","5","1395808225339"
"220","station","228","Connecticut & Nebraska Ave NW","31310","1395844332449","38.955016","-77.069956","true","false","1366894140000","false","true","18","5","1395842148843"
"221","station","229","17th St & Massachusetts Ave NW","31267","1395844323493","38.908142","-77.038359","true","false","1367851920000","false","true","0","19","1395844081282"
"222","station","230","15th & Euclid St  NW","31117","1395844239826","38.92333","-77.0352","true","false","1367856780000","false","true","5","10","1395844239219"
"223","station","231","8th & East Capitol St NE","31629","1395844213559","38.889988","-76.995193","true","false","1368545580000","false","true","2","9","1395842699667"
"224","station","232","New Jersey Ave & R St NW","31509","1395844244927","38.912659","-77.017669","true","false","1368532680000","false","true","8","7","1395840990807"
"225","station","233","15th & East Capitol St NE","31630","1395844191961","38.889908","-76.983326","true","false","1368541260000","false","true","2","9","1395840426074"
"226","station","234","8th & F St NE","31631","1395844233296","38.897274","-76.994749","true","false","1368552540000","false","true","1","14","1395843025556"
"227","station","235","18th St & Rhode Island Ave NE","31510","1395844323276","38.927095","-76.978924","true","false","1369915500000","false","true","7","8","1395826350002"
"228","station","236","15th & F St NE","31632","1395844283992","38.897195","-76.983575","true","false","1369928820000","false","true","1","17","1395839391541"
"229","station","237","12th & Irving St NE","31511","1395844267757","38.928644","-76.990955","true","false","1369923120000","false","true","7","8","1395838436950"
"230","station","238","34th St & Minnesota Ave SE","31709","1395844150030","38.884085","-76.957461","true","false","1370358840000","false","true","6","5","1395808221396"
"231","station","239","Alabama & MLK Ave SE","31800","1395844309999","38.843222","-76.999388","true","false","1370345160000","false","true","7","4","1395833705864"
"232","station","240","Pleasant St & MLK Ave SE","31807","1395844170892","38.863897","-76.990037","true","false","1370351820000","false","true","5","6","1395808227498"
"233","station","241","Neal St & Trinidad Ave NE","31512","1395844342343","38.903732","-76.987211","true","false","1371221640000","false","true","1","14","1395841706053"
"234","station","242","13th & U St NW","31268","1395844215481","38.916794","-77.029779","true","false","1371231240000","false","true","7","15","1395843972388"
"235","station","243","S George Mason Dr & Four Mile Run","31063","1395844140268","38.852248","-77.105022","true","false","1372690500000","false","true","4","7","1395748102977"
"236","station","244","S Stafford & 34th St S","31064","1395844222546","38.834108","-77.087323","true","false","1372701360000","false","true","7","8","1395751823382"
"237","station","245","N Pershing Dr & Wayne St","31065","1395844298929","38.880705","-77.08596","true","false","1372680300000","false","true","7","4","1395839236849"
"238","station","246","Columbia Pike & S Orme St","31066","1395844287450","38.867262","-77.072315","true","false","1372684620000","false","true","6","5","1395766836943"
"239","station","247","3rd St & Pennsylvania Ave SE","31269","1395844341277","38.887378","-77.001955","true","false","1374598740000","false","true","8","7","1395840384559"
"240","station","248","8th & D St NW","31270","1395844243774","38.894851","-77.02324","true","false","1374581640000","false","true","12","3","1395844001526"
"241","station","249","3rd & Elm St NW","31118","1395844187889","38.917622","-77.01597","true","false","1374589740000","false","true","0","15","1395843221602"
"242","station","250","Rhode Island Ave & V St NE","31513","1395844342450","38.918155","-77.004746","true","false","1375196700000","false","true","7","12","1395843616980"
"243","station","251","Constitution Ave & 2nd St NW/DOL","31271","1395844208840","38.892275","-77.013917","true","false","1375190280000","false","true","11","16","1395842768073"
"244","station","252","Washington & Independence Ave SW/HHS","31272","1395844166153","38.88731","-77.01397","true","false","1375445040000","false","true","12","12","1395842856661"
"245","station","253","Independence Ave & L'Enfant Plaza SW/DOE","31633","1395844317123","38.887397","-77.026154","true","false","1375789680000","false","true","10","5","1395843433955"
"246","station","254","Hamlin & 7th St NE","31514","1395844129884","38.927497","-76.997194","true","false","1376653440000","false","true","8","7","1395808214753"
"247","station","255","Columbia Pike & S Walter Reed Dr","31067","1395844145655","38.862478","-77.086599","true","false","1377605340000","false","true","7","5","1395836713079"
"248","station","256","Columbia Pike & S Dinwiddie St / Arlington Mill Community Center","31068","1395844322725","38.856319","-77.11153","true","false","1377776460000","false","true","10","5","1395840494230"
"249","station","257","Pershing & N George Mason Dr","31069","1395844254462","38.871822","-77.107906","true","false","1377792000000","false","true","4","7","1395839637725"
"250","station","258","Fenton St & New York Ave ","32001","1395844281682","38.985404","-77.023082","true","false","1380292620000","false","true","7","8","1395808223190"
"251","station","259","Bethesda Ave & Arlington Blvd","32002","1395844274724","38.981103","-77.097426","true","false","1380292620000","false","true","9","10","1395808222608"
"252","station","260","Montgomery Ave & Waverly St ","32003","1395844233447","38.983838","-77.09221","true","false","1382208480000","false","true","4","7","1395727700322"
"253","station","261","Fallsgrove Blvd & Fallsgrove Dr","32004","1395844354269","39.096312","-77.192672","true","false","1380292620000","false","true","7","10","1395835701076"
"254","station","262","Traville Gateway Dr & Gudelsky Dr","32005","1395844234395","39.093783","-77.202501","true","false","1380292680000","false","true","5","11","1395840709973"
"255","station","263","Norfolk Ave & Fairmont St","32000","1395844172964","38.988562","-77.096539","true","false","1380292560000","false","true","6","5","1395835711696"
"256","station","264","E Montgomery Ave & Maryland Ave","32007","1395844150110","39.084125","-77.151291","true","false","1380292560000","false","true","6","9","1395793176139"
"257","station","265","Cordell & Norfolk Ave","32008","1395844313484","38.98954","-77.098029","true","false","1380292740000","false","true","6","5","1395794995560"
"258","station","266","Frederick Ave & Horners Ln","32009","1395844233484","39.094772","-77.145213","true","false","1380292740000","false","true","7","4","1395721755543"
